date,name,value
2015-10-31,ÔÃÊ«·çÒ÷,18119
2015-10-31,ÃµÁÕ¿­,16691
2015-10-31,À¼Þ¢,16168
2015-10-31,ÑÅÊ«À¼÷ì,16132
2015-10-31,¿ÆÑÕÊÏ,15930
2015-10-31,°ÍÀèÅ·À³ÑÅ,12980
2015-10-31,Ñ©»¨Ðã,12731
2015-10-31,À¼Ö¥,11204
2015-10-31,ÏãÄÎ¶ù,11046
2015-10-31,º«Êø,10948
2015-10-31,Ù»±Ì,10081
2015-10-31,°ÙÈ¸Áç,9288
2015-10-31,ÑÅÑú,9286
2015-10-31,ÍêÃÀ,7741
2015-10-31,µÏ°Â,7409
2015-10-30,ÃµÁÕ¿­,14597
2015-10-30,À¼Þ¢,13671
2015-10-30,¿ÆÑÕÊÏ,13537
2015-10-30,ÑÅÊ«À¼÷ì,13420
2015-10-30,ÔÃÊ«·çÒ÷,12432
2015-10-30,Ñ©»¨Ðã,8975
2015-10-30,Ù»±Ì,8864
2015-10-30,°ÍÀèÅ·À³ÑÅ,8856
2015-10-30,À¼Ö¥,8145
2015-10-30,Ë¿Ü½À¼,7080
2015-10-30,ÏãÄÎ¶ù,6945
2015-10-30,ÑÅÑú,6841
2015-10-30,×ÊÉúÌÃ,6699
2015-10-30,ð¥ÀÙÊ«,5561
2015-10-30,º«Êø,5206
2015-11-04,ÃµÁÕ¿­,42658
2015-11-04,ÑÅÊ«À¼÷ì,18783
2015-11-04,¿ÆÑÕÊÏ,18053
2015-11-04,À¼Þ¢,17684
2015-11-04,ÔÃÊ«·çÒ÷,16976
2015-11-04,Ñ©»¨Ðã,13050
2015-11-04,°ÍÀèÅ·À³ÑÅ,12425
2015-11-04,Ù»±Ì,12005
2015-11-04,À¼Ö¥,11421
2015-11-04,ÑÅÑú,9412
2015-11-04,Ë¿Ü½À¼,9158
2015-11-04,ð¥ÀÙÊ«,9060
2015-11-04,ÏãÄÎ¶ù,8692
2015-11-04,º«Êø,8160
2015-11-04,×ÊÉúÌÃ,7834
2015-11-03,ÃµÁÕ¿­,27593
2015-11-03,¿ÆÑÕÊÏ,23266
2015-11-03,ÑÅÊ«À¼÷ì,23139
2015-11-03,À¼Þ¢,22802
2015-11-03,ÔÃÊ«·çÒ÷,22305
2015-11-03,Ñ©»¨Ðã,17710
2015-11-03,°ÍÀèÅ·À³ÑÅ,16387
2015-11-03,À¼Ö¥,15686
2015-11-03,Ù»±Ì,14961
2015-11-03,ÏãÄÎ¶ù,13043
2015-11-03,ÑÅÑú,12524
2015-11-03,º«Êø,11781
2015-11-03,°ÙÈ¸Áç,11409
2015-11-03,ð¥ÀÙÊ«,10369
2015-11-03,Ë¿Ü½À¼,9987
2015-11-05,ÃµÁÕ¿­,60641
