count,name,type_video,title
90.7万,纳豆nado,二次元,豆子：今晚魔道祖师冲鸭！阿巴阿巴！
111万,高冷男神钱小佳,户外,曼联球迷进来一下
18.5万,罩城主,刺激战场,单人四排皇冠日常37杀
23.5万,你喜欢花臂吗,刺激战场,战神花臂 在线屠杀
417万,指法芬芳张大仙,王者荣耀,全英雄都能秀！!
355万,英雄联盟官方赛事二,英雄联盟,LPL夏季赛 BLG vs SNG
322万,骚白,王者荣耀,骚白全能秀系列
220万,冯提莫,英雄联盟,冯提莫：唱一首简单的歌给你~
216万,英雄联盟官方赛事,英雄联盟,LPL夏季赛  SNG vs BLG
168万,Xleft小叮当,绝地求生,【XDD】吃饱喝足努力进步.
165万,东北大鹌鹑,英雄联盟,东北大鹌鹑 相声艺术家 宇宙第一寒冰
132万,王者荣耀官方赛事,王者荣耀,[重播] 9月12日KPL秋季赛见！
131万,PGI全球邀请赛,绝地求生,【预热】25号EMF香港世界邀请赛
114万,pigff,绝地求生,【PIGFF】顶级跳伞主播
110万,DL丶拖米,王者荣耀,亚瑟王 黄大仙
106万,嗨氏,王者荣耀,【嗨氏】送100个135红包13500元
98.4万,淳色,王者荣耀,王者荣耀第一吹
93.5万,主播阿飞,主机游戏,阿飞）19-25在德国科隆
86.9万,苏恩Olivia,音乐,晚上好 木木哒~
86.7万,TD丶正直博,户外,一起看武汉
78.7万,小苏菲,音乐,你好 我叫小苏菲
75万,气人主播QQQ,绝地求生,QQQ：稳定理财，6点送两个PRO耳机
75万,赛文柒Seven,户外,直到夜深人静.....
74.7万,叫我久哥哥,英雄联盟,久哥哥：小波比 韩服挑战50连胜。
73.8万,小深深儿,二次元,小深深儿：跳舞~跳舞~
72.1万,堡垒之夜赛事活动2,堡垒之夜,满舒克8点空降，定制单曲《玩》现已上线
66.4万,不2不叫周淑怡,英雄联盟,淑怡：把你们的荧光棒给我交了
65.6万,李永,DNF,明天我又是一条好汉
64.7万,eStarPro诺言,王者荣耀,讲真的。。
64.3万,峰峰三号333,户外,随便播一播~123456
64.2万,B总001,颜值,到上海了呼呼
61.3万,叫我老陈就好了,DOTA2,来这里开心就好。
60.9万,eStarPro伪装,王者荣耀,我打打可爱的排位赛
59.5万,卖血哥,音乐,109064的直播间
58万,骚易丶,王者荣耀,房管号 - 王者上荣耀
57.2万,小九九九九,主机游戏,【舞力全开】尬舞时间~
55.1万,靓旭,欢乐麻将,大型生存类游戏—欢乐三打一！
54万,青青青青青青山,QQ飞车,停电迟到理解一下
53.7万,一阵雨不是一阵奶,DNF,今天韩服九个职业大改版！
